fold,method,roc_auc,f1,accuracy
0,KMeans,1.0,0.6666666666666666,0.9166666666666666
0,IsolationForest,1.0,0.5,0.8333333333333334
0,Combined,1.0,0.6666666666666666,0.9166666666666666
1,KMeans,0.0,0.0,0.9166666666666666
1,IsolationForest,0.09090909090909094,0.0,0.75
1,Combined,0.0,0.0,0.75
2,KMeans,0.8181818181818181,0.0,0.9166666666666666
2,IsolationForest,0.7272727272727273,0.0,0.75
2,Combined,0.7272727272727273,0.0,0.75
3,KMeans,0.9090909090909091,0.0,0.9166666666666666
3,IsolationForest,0.5454545454545454,0.0,0.8333333333333334
3,Combined,0.8181818181818181,0.0,0.75
4,KMeans,0.3,0.0,0.5833333333333334
4,IsolationForest,0.25,0.0,0.75
4,Combined,0.25,0.0,0.6666666666666666
5,KMeans,0.0,0.0,0.8181818181818182
5,IsolationForest,0.0,0.0,0.7272727272727273
5,Combined,0.0,0.0,0.8181818181818182
6,KMeans,0.6,0.0,0.9090909090909091
6,IsolationForest,0.30000000000000004,0.0,0.9090909090909091
6,Combined,0.4,0.0,0.8181818181818182
7,KMeans,0.09999999999999998,0.0,0.7272727272727273
7,IsolationForest,0.0,0.0,0.7272727272727273
7,Combined,0.0,0.0,0.8181818181818182
8,KMeans,0.19999999999999996,0.0,0.8181818181818182
8,IsolationForest,0.6,0.0,0.7272727272727273
8,Combined,0.4,0.0,0.8181818181818182
9,KMeans,0.0,0.0,0.5454545454545454
9,IsolationForest,0.0,0.0,0.7272727272727273
9,Combined,0.0,0.0,0.8181818181818182
